18,PlayStation 4
732,PlayStation 4
913,iOS
1272,Atari ST/STE
1871,PlayStation 4
2201,Sega Mega Drive/Genesis
2878,Atari ST/STE
2951,BBC Microcomputer System
3141,Apple II
4348,iOS
6707,Nintendo Switch
7444,Xbox One
7789,Xbox One
8197,Sega Mega Drive/Genesis
9112,Nintendo Switch
9607,Legacy Mobile Device
9700,PlayStation Vita
10235,BBC Microcomputer System
12765,Family Computer
13226,Windows Mixed Reality
15167,Xbox One
16840,Ouya
17000,Nintendo Switch
23048,BBC Microcomputer System
23910,Xbox One
26848,Xbox One
27241,Xbox One
125021,Google Stadia
