18,iOS
49,Atari Jaguar
83,PlayStation 4
98,Game Boy Advance
99,Nintendo GameCube
154,Nintendo Switch
176,Atari 5200
185,Sega Mega Drive/Genesis
192,Apple II
200,ZX Spectrum
224,PlayStation Portable
236,PlayStation Portable
248,TurboGrafx-16/PC Engine
251,Atari ST/STE
260,Nintendo 3DS
283,Sega Saturn
284,iOS
286,Zeebo
330,Sega Saturn
333,Legacy Mobile Device
342,Sega Saturn
459,Acorn Archimedes
475,PlayStation Portable
503,PlayStation Portable
538,Nintendo Switch
542,PlayStation Portable
568,PlayStation 4
626,iOS
673,Game Boy Advance
696,PlayStation Portable
700,PlayStation Portable
703,N-Gage
732,iOS
778,Tapwave Zodiac
868,Windows Phone
885,Nintendo Switch
890,Android
892,Apple IIGS
912,PlayStation Vita
913,Game Boy Advance
924,Sega CD
942,Nintendo Switch
1011,PlayStation 4
