5,PC (Microsoft Windows)
6,PC (Microsoft Windows)
9,PC (Microsoft Windows)
13,PC DOS
14,Mac
16,PlayStation 3
18,PlayStation 2
19,PlayStation 2
20,PlayStation 3
22,Mac
23,Mac
24,PlayStation
35,PC DOS
37,PlayStation 3
38,PlayStation 3
39,PlayStation 2
41,PlayStation 2
50,Amiga
56,Xbox
59,PlayStation 3
60,Mac
61,Mac
65,PlayStation 3
66,PlayStation 3
67,Mac
68,PC DOS
71,PC (Microsoft Windows)
72,PC (Microsoft Windows)
73,PlayStation 3
74,PlayStation 3
75,PlayStation 3
76,PlayStation 3
86,Amiga
116,Xbox
118,PC (Microsoft Windows)
123,Mac
126,Mac
127,PlayStation 3
130,PlayStation
132,Mac
133,Mac
142,PlayStation 2
166,Mac
184,PC (Microsoft Windows)
191,PC (Microsoft Windows)
192,PC DOS
193,Mac
202,PC (Microsoft Windows)
207,PC (Microsoft Windows)
222,PC DOS
227,Mac
228,Mac
230,Mac
231,PC (Microsoft Windows)
233,PC (Microsoft Windows)
239,Mac
246,Mac
247,PC (Microsoft Windows)
272,PC (Microsoft Windows)
285,PC (Microsoft Windows)
288,Xbox
293,Mac
295,PlayStation
312,Xbox 360
327,PlayStation 2
339,PlayStation 3
363,PC DOS
364,PC (Microsoft Windows)
375,PlayStation
376,PlayStation 2
394,Android
403,Game Boy
421,PlayStation 3
426,PlayStation
427,PlayStation
428,PlayStation 3
434,Xbox 360
440,PC (Microsoft Windows)
448,Xbox
456,Mac
457,Mac
458,Mac
460,PC DOS
472,PlayStation 3
474,PlayStation 2
481,PlayStation 2
499,PlayStation 4
500,PlayStation 3
501,PlayStation 3
533,PlayStation 3
538,PC (Microsoft Windows)
634,PlayStation
647,PC (Microsoft Windows)
653,PlayStation 2
654,iOS
717,Mac
730,PlayStation 2
732,PlayStation 2
733,PlayStation 2
741,Mac
750,Mac
767,PC (Microsoft Windows)
782,PlayStation 3
796,PlayStation 2
797,PlayStation 2
815,PlayStation 2
817,PlayStation
820,Mac
824,PlayStation 2
832,PC (Microsoft Windows)
841,Xbox
851,PC (Microsoft Windows)
863,PC (Microsoft Windows)
866,PC (Microsoft Windows)
902,PlayStation
911,PlayStation 2
913,PC (Microsoft Windows)
916,PC DOS
934,PlayStation
935,Game Boy Advance
955,Mac
974,PC (Microsoft Windows)
987,Xbox 360
990,Xbox 360
1020,PlayStation 3
1026,Super Nintendo Entertainment System (SNES)
1027,Nintendo 3DS
1029,Wii
1030,Wii
1046,PC DOS
1068,Nintendo Entertainment System (NES)
1070,Super Nintendo Entertainment System (SNES)
1073,Super Famicom
1074,Wii
1077,Wii U
1078,Wii U
1090,Super Nintendo Entertainment System (SNES)
1092,Super Nintendo Entertainment System (SNES)
1103,Super Nintendo Entertainment System (SNES)
1105,Nintendo GameCube
1107,Wii U
1111,Wii U
1112,Wii U
1115,Wii U
1128,PlayStation 3
1134,Wii U
1173,Wii U
