18,Mac
60,FM Towns
71,Android
116,Nintendo Switch
191,Atari ST/STE
192,Nintendo Entertainment System (NES)
233,Mac
312,Tapwave Zodiac
376,PlayStation Vita
427,Xbox One
538,PlayStation 4
647,Sega Saturn
730,iOS
732,Mac
733,iOS
902,Super Nintendo Entertainment System (SNES)
911,N-Gage
913,Game Boy Color
974,Nintendo GameCube
1020,PlayStation 5
1026,Satellaview
1092,Super Famicom
1103,New Nintendo 3DS
1128,PlayStation Portable
1272,Amiga
1715,Wii U
1741,Wii U
1802,Nintendo DS
1814,PlayStation 4
1871,Android
1968,Google Stadia
2201,Amstrad CPC
2295,Apple II
2878,Nintendo Entertainment System (NES)
2951,ZX Spectrum
3029,Nintendo Switch
3088,Xbox One
3102,Xbox One
3141,Amstrad CPC
3798,Apple IIGS
3953,PlayStation 4
4034,PlayStation Portable
4348,Sega Mega Drive/Genesis
4438,Nintendo 3DS
4716,PlayStation Portable
4754,PlayStation 4
4985,iOS
4986,iOS
5056,PlayStation Portable
5099,PlayStation Portable
5423,Atari ST/STE
5508,PlayStation 4
5550,Satellaview
5613,PlayStation 4
5626,Xbox One
5951,Legacy Mobile Device
6405,Sega Mega Drive/Genesis
6701,Xbox One
6707,iOS
6741,Xbox One
7194,iOS
7342,Nintendo Switch
7386,PlayStation 4
7444,Wii U
7543,Web browser
7789,Wii U
7936,Nintendo Switch
8197,Game Boy Color
8247,iOS
8254,Nintendo Switch
8288,Xbox One
8307,Sega Game Gear
8750,Nintendo Switch
8864,Nintendo Switch
9046,Nintendo Switch
9112,Wii U
9607,PlayStation Portable
9694,Nintendo Switch
9700,Nintendo DS
9808,Nintendo Switch
10235,MSX
10496,Satellaview
10760,Google Stadia
11222,Neo Geo CD
11394,Nintendo Switch
11612,Arcade
11845,Atari ST/STE
11885,Arcade
12089,Sega Master System
12517,Xbox One
12765,Atari ST/STE
13226,PlayStation 4
14593,Nintendo Switch
14741,Xbox Series X|S
15167,Wii U
15464,PlayStation 4
15465,PlayStation 4
15559,Xbox One
16840,PlayStation Vita
17000,PlayStation Vita
17573,PlayStation Vita
18131,Windows Phone
18182,Nintendo Switch
19150,Nintendo Switch
19297,Xbox One
19728,Xbox One
19729,Nintendo Switch
20065,Nintendo Switch
20545,Xbox One
23048,Atari 2600
23499,Nintendo Switch
23501,Xbox One
23910,Wii U
25253,Nintendo Switch
25599,Google Stadia
25632,Oculus Quest 2
25651,PlayStation 4
26226,Nintendo Switch
26700,Nintendo Switch
26848,Wii U
26940,Xbox One
27241,Wii U
27436,Nintendo Switch
27499,Nintendo Switch
27667,Google Stadia
27930,Xbox One
28160,PlayStation 4
29961,PlayStation 4
30583,Nintendo Switch
33992,Nintendo Switch
35282,Nintendo Switch
37057,Nintendo Switch
39217,Windows Phone
40477,PlayStation 4
41595,Nintendo Switch
52496,Mac
53127,Windows Phone
59858,Nintendo Switch
76244,Nintendo Switch
83535,Oculus VR
89594,Nintendo Switch
94969,Nintendo Switch
95069,iOS
95832,Google Stadia
103221,Oculus Rift
105420,Nintendo Switch
105624,Nintendo Switch
109241,Xbox Series X|S
113112,PlayStation 5
119304,Nintendo Switch
119305,Xbox Series X|S
119402,Xbox Series X|S
122556,Nintendo Switch
125021,Xbox One
127036,PlayStation 4
127358,Xbox Series X|S
127816,Xbox Series X|S
133887,Xbox Series X|S
134595,Google Stadia
135919,PlayStation 5
135999,Oculus Quest 2
136604,Xbox Series X|S
138569,Xbox Series X|S
138858,Xbox Series X|S
139446,Xbox Series X|S
141540,PlayStation 5
142803,Xbox Series X|S
152122,PlayStation 5
