1,"[5, 13, 31]",[1]
2,"[13, 31]",[1]
3,"[5, 13, 31]",[1]
4,"[5, 31]",[1]
5,[12],"[1, 3]"
6,[12],"[1, 3]"
7,"[12, 15, 16, 24]",[1]
8,"[12, 15, 16, 24]",[1]
9,"[12, 15, 16, 24, 31]",[1]
10,"[12, 31]",[1]
11,[12],[1]
12,"[12, 31]","[1, 2]"
13,"[12, 16]",[1]
14,"[12, 16]",[1]
15,"[5, 12]",[1]
16,"[5, 12]",[1]
17,"[12, 15, 16, 24]","[1, 2]"
18,[5],[1]
19,[5],[1]
20,"[5, 12, 31]",[1]
21,"[5, 12, 31]","[1, 2]"
22,"[5, 12]","[1, 3]"
23,"[5, 12]",[1]
24,"[15, 16, 24]",[1]
25,"[15, 16, 24]",[1]
26,"[11, 15, 16, 24]",[1]
27,"[11, 13, 15]","[1, 2]"
28,"[2, 31]",[1]
29,"[2, 31]",[1]
30,"[2, 9, 31]",[1]
31,"[2, 31]",[1]
32,"[2, 9, 31]",[1]
33,"[2, 31]",[1]
34,"[5, 11, 12, 31]","[1, 2]"
35,"[11, 15]","[1, 2]"
36,"[11, 15]","[1, 2]"
37,[5],[1]
38,"[5, 31]","[1, 2, 3]"
39,"[4, 5, 10, 31]",[1]
40,"[5, 10, 31]",[1]
41,"[5, 12]",[1]
42,"[5, 12]",[1]
43,"[5, 12]",[1]
44,"[12, 15, 25, 31]","[1, 2]"
45,"[12, 15, 25]","[1, 2]"
46,"[12, 15, 25, 31]","[1, 2]"
47,"[25, 31]",[1]
48,"[9, 25]",[1]
49,"[15, 24]",[1]
50,"[15, 24]","[1, 2]"
51,"[15, 24]","[1, 2]"
52,[12],[1]
53,"[12, 31]",[1]
54,[12],[1]
55,"[12, 31]",[1]
56,"[12, 31]",[1]
57,"[12, 31]",[1]
58,"[12, 31]",[1]
59,"[12, 31]",[1]
60,"[2, 9, 31]",[1]
61,"[2, 9, 31]",[1]
62,"[2, 9, 31]",[1]
63,"[2, 9, 31]",[1]
64,"[2, 9, 31]",[1]
65,"[2, 9, 31]",[1]
66,"[2, 9, 31]",[1]
67,"[15, 16]","[1, 2]"
68,"[15, 16]","[1, 2]"
69,"[15, 16]","[1, 2]"
70,"[5, 13, 15]","[1, 2]"
71,"[5, 8, 9]",[1]
72,"[5, 8, 9, 31]","[1, 2, 3, 4]"
73,"[5, 12]",[1]
74,"[5, 12, 13, 31]",[1]
75,"[5, 12, 31]","[1, 2]"
76,[12],[1]
77,"[12, 15]",[1]
78,"[12, 31]",[1]
79,[31],"[1, 2, 3]"
80,"[12, 31]",[1]
81,[12],[1]
82,"[12, 15]",[1]
83,"[12, 25, 31]","[1, 3]"
84,"[12, 25, 31]","[1, 2, 3]"
85,"[11, 15, 25, 31]",[1]
86,"[11, 15]",[1]
87,"[11, 15]","[1, 2]"
88,[31],[1]
89,"[11, 15]","[1, 2]"
90,"[10, 13]","[1, 2]"
91,"[10, 13]","[1, 2]"
92,"[10, 13]","[1, 2]"
93,"[10, 13]","[1, 2]"
94,"[10, 13]","[1, 2]"
95,"[10, 13]","[1, 4]"
96,"[10, 13]","[1, 2, 4]"
97,"[10, 13]","[1, 2, 4]"
98,[10],"[1, 2, 4]"
99,"[10, 13]","[1, 2, 4]"
100,"[10, 13, 14]","[1, 2]"
101,"[10, 33]","[1, 2]"
102,"[10, 13]","[1, 2]"
103,"[10, 33]","[1, 2]"
104,"[10, 13]",[5]
105,[10],"[1, 2]"
106,"[2, 31]",[1]
107,"[5, 13, 24]","[1, 2, 3]"
108,"[5, 15, 24]","[1, 2]"
109,"[15, 31]",[1]
110,"[2, 31]",[1]
