Commodore CDTV
Sega Pico
PlayStation 2
iOS
Commodore Plus/4
AY-3-8710
Odyssey
Commodore PET
Sol-20
PC (Microsoft Windows)
Gamate
Tapwave Zodiac
ColecoVision
PlayStation VR
Texas Instruments TI-99
Philips Videopac G7000
Acorn Electron
Hyper Neo Geo 64
Thomson MO5
SteamVR
PC-50X Family
AY-3-8607
AY-3-8605
AY-3-8606
PC-98
Amstrad CPC
Playdate
Family Computer Disk System
WonderSwan Color
Neo Geo CD
Sega Game Gear
Atari Jaguar
3DO Interactive Multiplayer
Microvision
PC DOS
PC Engine SuperGrafx
Turbografx-16/PC Engine CD
Dreamcast
Atari 8-bit
Vectrex
Donner Model 30
PDP-8
DEC GT40
Microcomputer
Ferranti Nimrod Computer
Apple IIGS
SwanCrystal
Fairchild Channel F
PC-8801
Virtual Boy
TRS-80
Nintendo Switch
Amazon Fire TV
VC 4000
1292 Advanced Programmable Video System
Tatung Einstein
Nintendo DSi
Neo Geo Pocket
Dragon 32/64
Amstrad PCW
Xbox
PDP-11
Virtual Console (Nintendo)
MSX2
Atari 7800
Sega CD
Game Boy Advance
Sega 32X
AY-3-8500
AY-3-8760
AY-3-8603
Nintendo 64
Nintendo Entertainment System (NES)
Amiga
Neo Geo Pocket Color
Wii U
Sharp X1
Web browser
CDC Cyber 70
OnLive Game System
Acorn Archimedes
Amiga CD32
Philips CD-i
Sharp X68000
Nuon
AY-3-8610
Nintendo 3DS
Sega Mega Drive/Genesis
Sega Master System
Game Boy Color
PlayStation Portable
TurboGrafx-16/PC Engine
Super Nintendo Entertainment System (SNES)
Oculus VR
Playdia
PlayStation 3
Mac
Satellaview
Sega Saturn
Android
N-Gage
Atari 5200
Intellivision
BlackBerry OS
Game & Watch
Imlac PDS-1
FM Towns
Nintendo PlayStation
NEC PC-6000 Series
Commodore C64/128
FM-7
Nintendo DS
Atari ST/STE
PlayStation Vita
PlayStation 4
Atari Lynx
Commodore 16
Nintendo GameCube
Sharp MZ-2200
Super Famicom
Epoch Cassette Vision
Gear VR
PDP-10
Arcade
New Nintendo 3DS
Plug & Play
Oculus Quest 2
WonderSwan
Commodore VIC-20
Apple II
Windows Phone
Neo Geo AES
SG-1000
Windows Mixed Reality
Neo Geo MVS
Game Boy
Epoch Super Cassette Vision
Wii
Game.com
Intellivision Amico
Google Stadia
PlayStation 5
Oculus Go
Oculus Rift
Bally Astrocade
Oculus Quest
BBC Microcomputer System
Legacy Mobile Device
Linux
Ouya
PDP-1
TRS-80 Color Computer
Analogue electronics
Pokémon mini
EDSAC
HP 2100
Exidy Sorcerer
PDP-7
DVD Player
HP 3000
SDS Sigma 7
Daydream
Call-A-Computer time-shared mainframe computer system
Zeebo
PLATO
Blu-ray Player
ZX Spectrum
PC-FX
MSX
Evercade
OOParts
Sinclair ZX81
DUPLICATE Stadia
Casio Loopy
Xbox Series X|S
Atari 2600
Xbox 360
Xbox One
PlayStation
Family Computer
AirConsole
PlayStation VR2
