1,[6],109
2,[6],132
3,"[6, 11]",103
4,"[6, 9, 12, 48, 49]",234
5,"[3, 6, 14, 39]",256
6,"[3, 6, 14]",373
7,[13],18
8,[13],4
9,"[3, 6, 16]",35
10,"[6, 11, 12, 14, 34, 39]",58
11,[6],454
12,"[6, 14]",52
13,"[6, 13, 14]",444
14,"[6, 14]",549
15,"[6, 9, 12]",1246
16,"[6, 9, 12]",1381
17,"[6, 14]",69
18,"[6, 8, 9, 11, 12, 14, 34, 39, 48]",1264
19,"[6, 8, 9, 11, 12]",668
20,"[6, 9, 12, 14, 39]",2024
21,"[6, 9, 12, 14]",757
22,"[6, 14]",236
23,"[13, 14]",53
24,"[6, 7, 13, 16]",88
25,"[6, 7, 13]",28
26,"[6, 13]",10
27,[6],2
28,"[13, 14, 16, 63, 75, 115]",25
29,"[13, 14, 16, 63, 75, 115]",20
30,"[13, 14, 16, 63]",15
31,"[6, 13, 14, 16]",10
32,[13],13
33,"[6, 13, 14]",6
34,"[6, 14]",27
35,"[6, 13, 14, 34]",122
36,[6],106
37,"[6, 9, 12]",867
38,"[6, 9, 12]",702
39,"[6, 8, 11]",895
40,"[6, 9, 12]",783
41,"[6, 8, 9, 14]",623
42,"[6, 11]",85
43,"[6, 9, 12, 14]",783
44,"[6, 9, 12]",99
45,"[6, 9, 12]",25
46,"[6, 9, 12]",45
49,"[13, 14, 16, 19, 29, 38, 50, 62, 78, 114, 118]",44
50,"[13, 16]",10
51,"[7, 13]",14
52,"[6, 13]",28
53,[13],43
54,[13],6
55,[13],5
56,"[6, 11]",622
57,[6],40
58,[6],39
59,"[6, 9, 12]",1167
60,"[13, 14, 16, 63, 78, 118]",373
61,"[13, 14, 16]",395
62,[6],223
63,"[6, 8, 14]",106
64,"[5, 6, 9, 14, 39]",57
65,"[6, 9, 12, 14, 39]",98
66,"[6, 9, 12, 39]",45
67,"[13, 14]",26
68,"[6, 13, 14]",41
69,"[6, 14]",8
70,[13],3
71,"[3, 6, 9, 12, 14, 34]",2332
72,"[3, 6, 9, 12, 14]",2586
73,"[6, 9, 12]",1760
74,"[6, 9, 12]",1860
75,"[6, 9, 12, 41]",1437
76,"[6, 9, 12, 14]",1193
77,"[3, 6, 9, 12, 14]",156
78,"[6, 9, 12, 14]",486
79,"[6, 11, 14, 48, 49, 130]",24
80,"[6, 14]",550
81,"[6, 14]",34
82,[6],62
83,"[3, 6, 8, 11, 14, 21, 24, 48, 49, 130, 169]",46
84,"[8, 11]",33
85,"[13, 16, 78]",39
86,"[13, 16, 29, 116]",69
87,"[6, 7]",59
89,[6],13
90,"[6, 7, 13, 32, 50]",51
91,"[6, 7]",121
92,"[6, 7]",175
93,"[6, 7]",63
94,"[6, 7, 24]",138
95,"[6, 8, 11, 21]",188
96,"[6, 8, 11, 21, 24]",556
97,"[6, 8, 11, 20, 21, 24]",560
98,"[6, 8, 11, 12, 14, 20, 21, 24, 38]",641
99,"[5, 6, 8, 9, 11, 12, 14, 21]",359
100,"[5, 6, 8, 9, 12, 20, 38]",158
101,"[5, 6, 8, 9, 12, 20, 38]",193
102,"[6, 9, 12, 38]",143
103,"[5, 20]",9
