1,90967,0
2,96746,0
3,129190,0
4,96744,0
5,93899,0
6,90896,0
7,8,0
8,105564,0
9,104633,0
10,95796,0
11,123160,0
12,79871,0
13,91139,0
14,202749,0
15,91184,0
16,85752,0
17,91143,0
18,181838,0
19,120981,0
20,122598,0
21,122599,0
22,201260,0
23,204916,0
24,114679,0
25,106682,0
26,114318,0
27,109784,0
28,142620,0
29,30,0
30,31,0
31,32,0
32,33,0
33,34,0
34,90278,0
35,182022,0
36,96742,0
37,114332,0
38,94526,0
39,81353,0
40,123159,0
41,81923,0
42,86954,0
43,82118,0
44,98776,0
45,98775,2
46,98774,0
47,105005,0
48,105006,0
49,79281,0
50,196705,2
51,120285,0
52,120072,0
53,91103,0
54,91179,0
55,91130,0
56,120073,0
57,95264,2
58,95257,2
59,84680,0
60,104101,0
61,141219,0
62,141222,0
63,97237,0
64,101729,0
65,110509,8
66,100010,8
67,205481,0
68,113382,0
69,155725,0
70,137577,0
71,89689,0
72,82660,0
73,89700,0
74,93684,0
75,89702,0
76,122968,0
77,122971,2
78,122977,0
79,125640,0
80,90429,0
81,100621,2
82,100622,2
83,84634,0
84,84638,0
85,118764,0
86,111772,0
87,201322,0
88,98121,0
89,93972,0
90,78439,0
91,93640,0
92,93643,0
93,93646,0
94,183954,0
95,93644,0
96,93652,0
97,93653,0
98,93655,0
99,93656,0
100,93657,0
