1,"[5, 13, 31]",[612]
6,[12],[1920]
21,"[5, 12, 31]",[13923]
22,"[5, 12]",[1637]
35,"[11, 15]",[9996]
38,"[5, 31]",[14153]
44,"[12, 15, 25, 31]",[1716]
46,"[12, 15, 25, 31]",[1877]
72,"[5, 8, 9, 31]","[11591, 11592, 11593, 11594, 11595]"
75,"[5, 12, 31]",[765]
83,"[12, 25, 31]","[1631, 17435]"
98,[10],[17527]
105,[10],[13430]
115,[36],[9609]
119,[4],[652]
120,"[12, 25, 31]",[12759]
121,"[31, 33]","[11137, 11138, 11139]"
122,[5],[1628]
124,[5],[13355]
125,"[12, 15]",[1734]
126,"[12, 25]",[10481]
138,"[8, 9, 31]",[1939]
141,[5],[690]
142,"[5, 31]",[689]
143,"[5, 10]","[14997, 14998]"
148,"[5, 24, 31]","[14003, 14004, 14005, 17154]"
154,[10],[14687]
189,"[8, 31]","[1684, 8563, 8582]"
190,"[8, 31]",[1706]
210,"[5, 31]",[1859]
212,"[7, 11, 15, 31]",[13930]
214,"[12, 31]",[1664]
215,[12],[13738]
216,"[12, 31]",[1663]
230,"[11, 15]",[16786]
234,"[12, 15, 31]",[10065]
239,"[11, 15]",[1993]
241,[5],[7856]
243,[26],[11458]
246,"[12, 25]",[10482]
271,[5],[1917]
272,[5],[10671]
276,"[11, 13, 15]",[1736]
277,[5],[13356]
280,[5],[14199]
289,"[11, 13, 15, 31]",[1643]
291,"[11, 13, 15]",[13980]
295,"[11, 15]",[9667]
296,"[5, 31]",[14094]
299,"[11, 13, 15]",[17316]
304,"[12, 31]",[1708]
307,[5],[17367]
308,"[11, 13, 15]",[10061]
314,"[5, 24]",[532]
316,"[5, 15, 24]",[1608]
320,"[5, 12]",[13456]
328,[12],[1765]
329,[12],[1840]
333,[5],"[1641, 14478]"
342,[5],[5308]
343,[5],[624]
351,[5],[13912]
352,"[5, 13, 15, 31]",[4152]
358,"[8, 31]",[15853]
359,"[12, 31]","[17383, 17384]"
361,"[5, 31]",[14620]
364,"[12, 15, 16]","[8475, 8476, 8477]"
382,"[5, 15]",[1931]
383,"[12, 25]",[12088]
394,"[12, 13, 15, 16, 24, 31]",[8550]
401,"[12, 31]",[1961]
414,"[12, 15, 16, 24]",[17247]
422,[10],[7857]
432,"[11, 13, 15, 16, 24]",[562]
434,"[5, 12, 31]","[2010, 2011]"
442,"[11, 15, 16, 24]",[1979]
450,"[5, 13, 15]",[525]
451,"[5, 9, 13, 15, 24]",[5882]
454,"[8, 9, 15]",[14592]
455,[4],[14569]
458,"[11, 15]",[1244]
464,[5],[9115]
466,"[11, 15]",[8680]
471,"[5, 31]",[14095]
473,[5],[13913]
475,"[12, 25, 31]",[17207]
476,"[5, 31]",[692]
488,"[5, 31]",[7580]
490,"[5, 31]",[14233]
492,[5],[2014]
494,[5],[590]
496,"[25, 31]","[2016, 2017, 8039]"
497,[5],[1895]
498,"[5, 12]",[1762]
502,[5],[1876]
504,"[12, 25, 31]",[1989]
505,"[12, 25, 31]",[1999]
509,"[5, 10]","[11394, 11395]"
512,"[5, 8, 31]",[12062]
513,"[12, 25, 31]","[11313, 11314, 11315, 11316]"
